Diagnostic Code,Rated Issue Name,Max Rating(%),Body System, Category, Subcategory, CFR_Ref
5107,Anatomical loss of both feet,100,Musculoskeletal,Prosthetic Implants and Resurfacing,,38 CFR 4.71a
5108,Anatomical loss of one hand and one foot,100,Musculoskeletal,Prosthetic Implants and Resurfacing,,38 CFR 4.71a
5109,Loss of use of both hands,100,Musculoskeletal,Prosthetic Implants and Resurfacing,,38 CFR 4.71a
5110,Loss of use of both feet,100,Musculoskeletal,Prosthetic Implants and Resurfacing,,38 CFR 4.71a
5111,Loss of use of one hand and one foot,100,Musculoskeletal,Prosthetic Implants and Resurfacing,,38 CFR 4.71a
5120,"Complete amputation, upper extremity.",100,Musculoskeletal,Amputations: Upper Extremity,"Arm, amputation of:",38 CFR 4.71a
5121,Above insertion of deltoid,90,Musculoskeletal,Amputations: Upper Extremity,"Arm, amputation of:",38 CFR 4.71a
5122,Below insertion of deltoid,80,Musculoskeletal,Amputations: Upper Extremity,"Arm, amputation of:",38 CFR 4.71a
5123,Above insertion of pronator teres,80,Musculoskeletal,Amputations: Upper Extremity,"Forearm, amputation of:",38 CFR 4.71a
5124,Below insertion of pronator teres,70,Musculoskeletal,Amputations: Upper Extremity,"Forearm, amputation of:",38 CFR 4.71a
5125,"Hand, loss of use of",70,Musculoskeletal,Amputations: Upper Extremity,"Forearm, amputation of:",38 CFR 4.71a
5126,"Five digits of one hand, amputation of",70,Musculoskeletal,Amputations: Upper Extremity,"Four digits of one hand, amputation of:",38 CFR 4.71a
5127,"Thumb, index, long and ring",70,Musculoskeletal,Amputations: Upper Extremity,"Four digits of one hand, amputation of:",38 CFR 4.71a
5128,"Thumb, index, long and little",70,Musculoskeletal,Amputations: Upper Extremity,"Four digits of one hand, amputation of:",38 CFR 4.71a
5129,"Thumb, index, ring and little",70,Musculoskeletal,Amputations: Upper Extremity,"Four digits of one hand, amputation of:",38 CFR 4.71a
5130,"Thumb, long, ring and little",70,Musculoskeletal,Amputations: Upper Extremity,"Four digits of one hand, amputation of:",38 CFR 4.71a
5131,"Index, long, ring and little",60,Musculoskeletal,Amputations: Upper Extremity,"Four digits of one hand, amputation of:",38 CFR 4.71a
5132,"Thumb, index and long",60,Musculoskeletal,Amputations: Upper Extremity,"Three digits of one hand, amputation of:",38 CFR 4.71a
5133,"Thumb, index and ring",60,Musculoskeletal,Amputations: Upper Extremity,"Three digits of one hand, amputation of:",38 CFR 4.71a
5134,"Thumb, index and little",60,Musculoskeletal,Amputations: Upper Extremity,"Three digits of one hand, amputation of:",38 CFR 4.71a
5135,"Thumb, long and ring",60,Musculoskeletal,Amputations: Upper Extremity,"Three digits of one hand, amputation of:",38 CFR 4.71a
5136,"Thumb, long and little",60,Musculoskeletal,Amputations: Upper Extremity,"Three digits of one hand, amputation of:",38 CFR 4.71a
5137,"Thumb, ring and little",60,Musculoskeletal,Amputations: Upper Extremity,"Three digits of one hand, amputation of:",38 CFR 4.71a
5138,"Index, long and ring",50,Musculoskeletal,Amputations: Upper Extremity,"Three digits of one hand, amputation of:",38 CFR 4.71a
5139,"Index, long and little",50,Musculoskeletal,Amputations: Upper Extremity,"Three digits of one hand, amputation of:",38 CFR 4.71a
5140,"Index, ring and little",50,Musculoskeletal,Amputations: Upper Extremity,"Three digits of one hand, amputation of:",38 CFR 4.71a
5141,"Long, ring and little",40,Musculoskeletal,Amputations: Upper Extremity,"Three digits of one hand, amputation of:",38 CFR 4.71a
5142,Thumb and index,50,Musculoskeletal,Amputations: Upper Extremity,"Two digits of one hand, amputation of:",38 CFR 4.71a
5143,Thumb and long,50,Musculoskeletal,Amputations: Upper Extremity,"Two digits of one hand, amputation of:",38 CFR 4.71a
5144,Thumb and ring,50,Musculoskeletal,Amputations: Upper Extremity,"Two digits of one hand, amputation of:",38 CFR 4.71a
5145,Thumb and little,50,Musculoskeletal,Amputations: Upper Extremity,"Two digits of one hand, amputation of:",38 CFR 4.71a
5146,Index and long,40,Musculoskeletal,Amputations: Upper Extremity,"Two digits of one hand, amputation of:",38 CFR 4.71a
5147,Index and ring,40,Musculoskeletal,Amputations: Upper Extremity,"Two digits of one hand, amputation of:",38 CFR 4.71a
5148,Index and little,40,Musculoskeletal,Amputations: Upper Extremity,"Two digits of one hand, amputation of:",38 CFR 4.71a
5149,Long and ring,30,Musculoskeletal,Amputations: Upper Extremity,"Two digits of one hand, amputation of:",38 CFR 4.71a
5150,Long and little,30,Musculoskeletal,Amputations: Upper Extremity,"Two digits of one hand, amputation of:",38 CFR 4.71a
5151,Ring and little,30,Musculoskeletal,Amputations: Upper Extremity,"Two digits of one hand, amputation of:",38 CFR 4.71a
5152,"Thumb, amputation of.",40,Musculoskeletal,Amputations: Upper Extremity,Single finger amputations,38 CFR 4.71a
5153,"Index finger, amputation of",30,Musculoskeletal,Amputations: Upper Extremity,Single finger amputations,38 CFR 4.71a
5154,"Long finger, amputation of.",20,Musculoskeletal,Amputations: Upper Extremity,Single finger amputations,38 CFR 4.71a
5155,"Ring finger, amputation of.",20,Musculoskeletal,Amputations: Upper Extremity,Single finger amputations,38 CFR 4.71a
5156,"Little finger, amputation of.",20,Musculoskeletal,Amputations: Upper Extremity,Single finger amputations,38 CFR 4.71a
5160,"Complete amputation, lower extremity.",100,Musculoskeletal,Amputations: Lower Extremity,"Thigh, amputation of:",38 CFR 4.71a
5161,"Upper third, one-third of the distance from perineum to knee joint measured from perineum",80,Musculoskeletal,Amputations: Lower Extremity,"Thigh, amputation of:",38 CFR 4.71a
5162,Middle or lower thirds,60,Musculoskeletal,Amputations: Lower Extremity,"Thigh, amputation of:",38 CFR 4.71a
5163,"With defective stump, thigh amputation recommended",60,Musculoskeletal,Amputations: Lower Extremity,"Leg, amputation of:",38 CFR 4.71a
5164,Amputation not improvable by prosthesis controlled by natural knee action,60,Musculoskeletal,Amputations: Lower Extremity,"Leg, amputation of:",38 CFR 4.71a
5165,"At a lower level, permitting prosthesis",40,Musculoskeletal,Amputations: Lower Extremity,"Leg, amputation of:",38 CFR 4.71a
5166,"Forefoot, amputation proximal to metatarsal bones (more than one-half of metatarsal loss)",40,Musculoskeletal,Amputations: Lower Extremity,"Leg, amputation of:",38 CFR 4.71a
5167,"Foot, loss of use of",40,Musculoskeletal,Amputations: Lower Extremity,"Leg, amputation of:",38 CFR 4.71a
5170,"Toes, all, amputation of, without metatarsal loss or transmetatarsal, amputation of, with up to half of metatarsal loss",30,Musculoskeletal,Amputations: Lower Extremity,"Leg, amputation of:",38 CFR 4.71a
5171,"Toe, great, amputation of.",30,Musculoskeletal,Amputations: Lower Extremity,"Leg, amputation of:",38 CFR 4.71a
5172,"Toes, other than great, amputation of, with removal of metatarsal head.",20,Musculoskeletal,Amputations: Lower Extremity,"Leg, amputation of:",38 CFR 4.71a
5173,"Toes, three or four, amputation of, without metatarsal involvement.",20,Musculoskeletal,Amputations: Lower Extremity,"Leg, amputation of:",38 CFR 4.71a
5200,"Scapulohumeral articulation, ankylosis of.",50,Musculoskeletal,The Shoulder and Arm,,38 CFR 4.71a
5201,"Arm, limitation of motion of.",40,Musculoskeletal,The Shoulder and Arm,,38 CFR 4.71a
5202,"Humerus, other impairment of.",80,Musculoskeletal,The Shoulder and Arm,,38 CFR 4.71a
5203,"Clavicle or scapula, impairment of.",20,Musculoskeletal,The Shoulder and Arm,,38 CFR 4.71a
5205,"Elbow, ankylosis of.",60,Musculoskeletal,The Shoulder and Arm,,38 CFR 4.71a
5206,"Forearm, limitation of flexion of.",50,Musculoskeletal,The Shoulder and Arm,,38 CFR 4.71a
5207,"Forearm, limitation of extension of.",50,Musculoskeletal,The Shoulder and Arm,,38 CFR 4.71a
5208,"Forearm, flexion limited to 100° and extension to 45°",20,Musculoskeletal,The Shoulder and Arm,,38 CFR 4.71a
5209,"Elbow, other impairment of Flail joint",60,Musculoskeletal,The Shoulder and Arm,,38 CFR 4.71a
5210,"Radius and ulna, nonunion of, with flail false joint",50,Musculoskeletal,The Shoulder and Arm,,38 CFR 4.71a
5211,"Ulna, impairment of.",40,Musculoskeletal,The Shoulder and Arm,,38 CFR 4.71a
5212,"Radius, impairment of.",40,Musculoskeletal,The Shoulder and Arm,,38 CFR 4.71a
5213,"Supination and pronation, impairment of.",40,Musculoskeletal,The Shoulder and Arm,,38 CFR 4.71a
5214,"Wrist, ankylosis of.",50,Musculoskeletal,The Shoulder and Arm,,38 CFR 4.71a
5215,"Wrist, limitation of motion of.",10,Musculoskeletal,The Shoulder and Arm,,38 CFR 4.71a
5216,"Five digits of one hand, unfavorable ankylosis of",60,Musculoskeletal,Evaluation of Ankylosis or Limitation of Motion of Single or Multiple Digits of the Hand,,38 CFR 4.71a
5217,"Four digits of one hand, unfavorable ankylosis of.",60,Musculoskeletal,Evaluation of Ankylosis or Limitation of Motion of Single or Multiple Digits of the Hand,,38 CFR 4.71a
5218,"Three digits of one hand, unfavorable ankylosis of.",50,Musculoskeletal,Evaluation of Ankylosis or Limitation of Motion of Single or Multiple Digits of the Hand,,38 CFR 4.71a
5219,"Two digits of one hand, unfavorable ankylosis of.",40,Musculoskeletal,Evaluation of Ankylosis or Limitation of Motion of Single or Multiple Digits of the Hand,,38 CFR 4.71a
5220,"Five digits of one hand, favorable ankylosis of",50,Musculoskeletal,Evaluation of Ankylosis or Limitation of Motion of Single or Multiple Digits of the Hand,,38 CFR 4.71a
5221,"Four digits of one hand, favorable ankylosis of.",50,Musculoskeletal,Evaluation of Ankylosis or Limitation of Motion of Single or Multiple Digits of the Hand,,38 CFR 4.71a
5222,"Three digits of one hand, favorable ankylosis of.",40,Musculoskeletal,Evaluation of Ankylosis or Limitation of Motion of Single or Multiple Digits of the Hand,,38 CFR 4.71a
5223,"Two digits of one hand, favorable ankylosis of.",30,Musculoskeletal,Evaluation of Ankylosis or Limitation of Motion of Single or Multiple Digits of the Hand,,38 CFR 4.71a
5224,"Thumb, ankylosis of.",20,Musculoskeletal,Evaluation of Ankylosis or Limitation of Motion of Single or Multiple Digits of the Hand,,38 CFR 4.71a
5225,"Index finger, ankylosis of.",10,Musculoskeletal,Evaluation of Ankylosis or Limitation of Motion of Single or Multiple Digits of the Hand,,38 CFR 4.71a
5226,"Long finger, ankylosis of.",10,Musculoskeletal,Evaluation of Ankylosis or Limitation of Motion of Single or Multiple Digits of the Hand,,38 CFR 4.71a
5227,"Ring or little finger, ankylosis of.",0,Musculoskeletal,Evaluation of Ankylosis or Limitation of Motion of Single or Multiple Digits of the Hand,,38 CFR 4.71a
5228,"Thumb, limitation of motion.",20,Musculoskeletal,Evaluation of Ankylosis or Limitation of Motion of Single or Multiple Digits of the Hand,,38 CFR 4.71a
5229,"Index or long finger, limitation of motion.",10,Musculoskeletal,Evaluation of Ankylosis or Limitation of Motion of Single or Multiple Digits of the Hand,,38 CFR 4.71a
5230,"Ring or little finger, limitation of motion.",0,Musculoskeletal,Evaluation of Ankylosis or Limitation of Motion of Single or Multiple Digits of the Hand,,38 CFR 4.71a
5235,Vertebral fracture or dislocation,100,Musculoskeletal,The Spine,,38 CFR 4.71a
5236,Sacroiliac injury and weakness,100,Musculoskeletal,The Spine,,38 CFR 4.71a
5237,Lumbosacral or cervical strain,100,Musculoskeletal,The Spine,,38 CFR 4.71a
5238,Spinal stenosis,100,Musculoskeletal,The Spine,,38 CFR 4.71a
5239,Spondylolisthesis or segmental instability,100,Musculoskeletal,The Spine,,38 CFR 4.71a
5240,Ankylosing spondylitis,100,Musculoskeletal,The Spine,,38 CFR 4.71a
5241,Spinal fusion,100,Musculoskeletal,The Spine,,38 CFR 4.71a
5242,"Degenerative arthritis, degenerative disc disease other than intervertebral disc syndrome",100,Musculoskeletal,The Spine,,38 CFR 4.71a
5243,Intervertebral disc syndrome,100,Musculoskeletal,The Spine,,38 CFR 4.71a
5244,"Traumatic paralysis, complete.",100,Musculoskeletal,The Spine,,38 CFR 4.71a
5250,"Hip, ankylosis of.",90,Musculoskeletal,The Hip and Thigh,,38 CFR 4.71a
5251,"Thigh, limitation of extension of.",10,Musculoskeletal,The Hip and Thigh,,38 CFR 4.71a
5252,"Thigh, limitation of flexion of.",40,Musculoskeletal,The Hip and Thigh,,38 CFR 4.71a
5253,"Thigh, impairment of.",20,Musculoskeletal,The Hip and Thigh,,38 CFR 4.71a
5254,"Hip, flail joint",80,Musculoskeletal,The Hip and Thigh,,38 CFR 4.71a
5255,"Femur, impairment of.",80,Musculoskeletal,The Hip and Thigh,,38 CFR 4.71a
5256,"Knee, ankylosis of.",60,Musculoskeletal,The Knee and Leg,,38 CFR 4.71a
5257,"Knee, other impairment of.",30,Musculoskeletal,The Knee and Leg,,38 CFR 4.71a
5258,"Cartilage, semilunar, dislocated, with frequent episodes of “locking,” pain, and effusion into the joint",20,Musculoskeletal,The Knee and Leg,,38 CFR 4.71a
5259,"Cartilage, semilunar, removal of, symptomatic",10,Musculoskeletal,The Knee and Leg,,38 CFR 4.71a
5260,"Leg, limitation of flexion of.",30,Musculoskeletal,The Knee and Leg,,38 CFR 4.71a
5261,"Leg, limitation of extension of.",50,Musculoskeletal,The Knee and Leg,,38 CFR 4.71a
5262,"Tibia and fibula, impairment of.",40,Musculoskeletal,The Knee and Leg,,38 CFR 4.71a
5263,"Genu recurvatum (acquired, traumatic, with weakness and insecurity in weight-bearing objectively demonstrated)",10,Musculoskeletal,The Knee and Leg,,38 CFR 4.71a
5269,Plantar fasciitis.,40,Musculoskeletal,The Foot,,38 CFR 4.71a
5270,"Ankle, ankylosis of.",40,Musculoskeletal,The Ankle,,38 CFR 4.71a
5271,"Ankle, limited motion of.",20,Musculoskeletal,The Ankle,,38 CFR 4.71a
5272,"Subastragalar or tarsal joint, ankylosis of.",20,Musculoskeletal,The Ankle,,38 CFR 4.71a
5273,"Os calcis or astragalus, malunion of.",20,Musculoskeletal,The Ankle,,38 CFR 4.71a
5274,Astragalectomy,20,Musculoskeletal,The Ankle,,38 CFR 4.71a
5275,"Bones, of the lower extremity, shortening of.",60,Musculoskeletal,Shortening of the Lower Extremity,,38 CFR 4.71a
5276,"Flatfoot, acquired.",50,Musculoskeletal,The Foot,,38 CFR 4.71a
5277,"Weak foot, bilateral.",100,Musculoskeletal,The Foot,,38 CFR 4.71a
5278,"Claw foot (pes cavus), acquired.",50,Musculoskeletal,The Foot,,38 CFR 4.71a
5279,"Metatarsalgia, anterior (Morton's disease), unilateral, or bilateral",10,Musculoskeletal,The Foot,,38 CFR 4.71a
5280,"Hallux valgus, unilateral.",10,Musculoskeletal,The Foot,,38 CFR 4.71a
5281,"Hallux rigidus, unilateral, severe.",10,Musculoskeletal,The Foot,,38 CFR 4.71a
5282,Hammer toe.,10,Musculoskeletal,The Foot,,38 CFR 4.71a
5283,"Tarsal, or metatarsal bones, malunion of, or nonunion of.",40,Musculoskeletal,The Foot,,38 CFR 4.71a
5284,"Foot injuries, other.",40,Musculoskeletal,The Foot,,38 CFR 4.71a
5296,"Skull, loss of part of, both inner and outer tables.",80,Musculoskeletal,The Skull,,38 CFR 4.71a
5297,"Ribs, removal of.",50,Musculoskeletal,The Ribs,,38 CFR 4.71a
5298,"Coccyx, removal of.",10,Musculoskeletal,The Coccyx,,38 CFR 4.71a
5301,Group I. Function: Upward rotation of scapula,40,Musculoskeletal,Muscle Injuries,,38 CFR 4.71a
5302,Group II. Function: Depression of arm,40,Musculoskeletal,Muscle Injuries,,38 CFR 4.71a
5303,Group III. Function: Elevation and abduction of arm,40,Musculoskeletal,Muscle Injuries,,38 CFR 4.71a
5304,Group IV. Function: Stabilization of shoulder,30,Musculoskeletal,Muscle Injuries,,38 CFR 4.71a
5305,Group V. Function: Elbow supination,40,Musculoskeletal,Muscle Injuries,,38 CFR 4.71a
5306,Group VI. Function: Extension of elbow,40,Musculoskeletal,Muscle Injuries,,38 CFR 4.71a
5307,Group VII. Function: Flexion of wrist and fingers.,40,Musculoskeletal,Muscle Injuries,,38 CFR 4.71a
5308,"Group VIII. Function: Extension of wrist, fingers, and thumb",30,Musculoskeletal,Muscle Injuries,,38 CFR 4.71a
5309,Group IX. Function: The forearm,50,Musculoskeletal,Muscle Injuries,,38 CFR 4.71a
5310,Group X. Function: Movements of forefoot and toes,30,Musculoskeletal,Muscle Injuries,,38 CFR 4.71a
5311,"Group XI. Function: Propulsion, plantar flexion of foot",30,Musculoskeletal,Muscle Injuries,,38 CFR 4.71a
5312,Group XII. Function: Dorsiflexion,30,Musculoskeletal,Muscle Injuries,,38 CFR 4.71a
5313,Group XIII. Function: Extension of hip and flexion of knee,40,Musculoskeletal,Muscle Injuries,,38 CFR 4.71a
5314,Group XIV. Function: Extension of knee,40,Musculoskeletal,Muscle Injuries,,38 CFR 4.71a
5315,Group XV. Function: Adduction of hip,30,Musculoskeletal,Muscle Injuries,,38 CFR 4.71a
5316,Group XVI. Function: Flexion of hip,40,Musculoskeletal,Muscle Injuries,,38 CFR 4.71a
5317,Group XVII. Function: Extension of hip,50,Musculoskeletal,Muscle Injuries,,38 CFR 4.71a
5318,Group XVIII. Function: Outward rotation of thigh,30,Musculoskeletal,Muscle Injuries,,38 CFR 4.71a
5319,Group XIX. Function: Support and compression of abdominal wall and lower thoraz,50,Musculoskeletal,Muscle Injuries,,38 CFR 4.71a
5320,Group XX. Function: Postural support of body,60,Musculoskeletal,Muscle Injuries,,38 CFR 4.71a
5321,Group XXI. Function: Respiration,20,Musculoskeletal,Muscle Injuries,,38 CFR 4.71a
5322,Group XXII. Function: Rotary and forward movements of the head,30,Musculoskeletal,Muscle Injuries,,38 CFR 4.71a
5323,Group XXIII. Function: Movements of the head,30,Musculoskeletal,Muscle Injuries,,38 CFR 4.71a
5324,"Diaphragm, rupture of, with herniation. Rate under diagnostic code 7346",60,Musculoskeletal,Miscellaneous,,38 CFR 4.71a
5325,"Muscle injury, facial muscles. Evaluate functional impairment as seventh (facial) cranial nerve neuropathy (diagnostic code 8207), disfiguring scar (diagnostic code 7800), etc. Minimum, if interfering to any extent with mastication—10",80,Musculoskeletal,Miscellaneous,,38 CFR 4.71a
5326,"Muscle hernia, extensive. ",10,Musculoskeletal,Miscellaneous,,38 CFR 4.71a
5327,"Muscle, neoplasm of, malignant (excluding soft tissue sarcoma)",100,Musculoskeletal,Miscellaneous,,38 CFR 4.71a
5328,"Muscle, neoplasm of, benign, postoperative. Rate on impairment of function, i.e., limitation of motion, or scars, diagnostic code 7805, etc",100,Musculoskeletal,Miscellaneous,,38 CFR 4.71a
5329,"Sarcoma, soft tissue (of muscle, fat, or fibrous connective tissue)",100,Musculoskeletal,Miscellaneous,,38 CFR 4.71a
5330,"Rhabdomyolysis, residuals of.",100,Musculoskeletal,Miscellaneous,,38 CFR 4.71a
5331,Compartment syndrome.,60,Musculoskeletal,Miscellaneous,,38 CFR 4.71a
6000,"Choroidopathy, including uveitis, iritis, cyclitis, or choroiditis.",100,The Organs of Special Sense,Eye,,38 CFR 4.79
6001,Keratopathy.,100,The Organs of Special Sense,Eye,,38 CFR 4.79
6002,Scleritis.,100,The Organs of Special Sense,Eye,,38 CFR 4.79
6006,Retinopathy or maculopathy not otherwise specified,100,The Organs of Special Sense,Eye,,38 CFR 4.79
6007,Intraocular hemorrhage.,100,The Organs of Special Sense,Eye,,38 CFR 4.79
6008,Detachment of retina.,100,The Organs of Special Sense,Eye,,38 CFR 4.79
6009,Unhealed eye injury.,100,The Organs of Special Sense,Eye,,38 CFR 4.79
6010,Tuberculosis of eye.,100,The Organs of Special Sense,Eye,,38 CFR 4.79
6011,"Retinal scars, atrophy, or irregularities.",100,The Organs of Special Sense,Eye,,38 CFR 4.79
6012,Angle-closure glaucoma,100,The Organs of Special Sense,Eye,,38 CFR 4.79
6013,Open-angle glaucoma,100,The Organs of Special Sense,Eye,,38 CFR 4.79
6014,"Malignant neoplasms of the eye, orbit, and adnexa (excluding skin).",100,The Organs of Special Sense,Eye,,38 CFR 4.79
6015,"Benign neoplasms of the eye, orbit, and adnexa (excluding skin).",100,The Organs of Special Sense,Eye,,38 CFR 4.79
6016,"Nystagmus, central",10,The Organs of Special Sense,Eye,,38 CFR 4.79
6017,Trachomatous conjunctivitis.,100,The Organs of Special Sense,Eye,,38 CFR 4.79
6018,Chronic conjunctivitis (nontrachomatous).,100,The Organs of Special Sense,Eye,,38 CFR 4.79
6019,"Ptosis, unilateral or bilateral.",100,The Organs of Special Sense,Eye,,38 CFR 4.79
6020,Ectropion.,20,The Organs of Special Sense,Eye,,38 CFR 4.79
6021,Entropion.,20,The Organs of Special Sense,Eye,,38 CFR 4.79
6022,Lagophthalmos.,20,The Organs of Special Sense,Eye,,38 CFR 4.79
6023,"Loss of eyebrows, complete, unilateral or bilateral",10,The Organs of Special Sense,Eye,,38 CFR 4.79
6024,"Loss of eyelashes, complete, unilateral or bilateral",10,The Organs of Special Sense,Eye,,38 CFR 4.79
6025,"Disorders of the lacrimal apparatus (epiphora, dacryocystitis, etc.).",20,The Organs of Special Sense,Eye,,38 CFR 4.79
6026,Optic neuropathy,100,The Organs of Special Sense,Eye,,38 CFR 4.79
6027,Cataract.,100,The Organs of Special Sense,Eye,,38 CFR 4.79
6029,Aphakia or dislocation of crystalline lens.,100,The Organs of Special Sense,Eye,,38 CFR 4.79
6030,Paralysis of accommodation (due to neuropathy of the Oculomotor Nerve (cranial nerve III)).,20,The Organs of Special Sense,Eye,,38 CFR 4.79
6032,"Loss of eyelids, partial or complete.",100,The Organs of Special Sense,Eye,,38 CFR 4.79
6034,Pterygium.,100,The Organs of Special Sense,Eye,,38 CFR 4.79
6035,Keratoconus,100,The Organs of Special Sense,Eye,,38 CFR 4.79
6036,Status post corneal transplant.,100,The Organs of Special Sense,Eye,,38 CFR 4.79
6037,Pinguecula.,90,The Organs of Special Sense,Eye,,38 CFR 4.79
6040,Diabetic retinopathy,100,The Organs of Special Sense,Eye,,38 CFR 4.79
6042,"Retinal dystrophy (including retinitis pigmentosa, wet or dry macular degeneration, early-onset macular degeneration, rod and/or cone dystrophy)",100,The Organs of Special Sense,Eye,,38 CFR 4.79
6046,Post-chiasmal disorders,100,The Organs of Special Sense,Eye,,38 CFR 4.79
6061,Anatomical loss of both eyes,100,The Organs of Special Sense,Eye,,38 CFR 4.79
6062,No more than light perception in both eyes,100,The Organs of Special Sense,Eye,,38 CFR 4.79
6063,Anatomical loss of one eye.,100,The Organs of Special Sense,Eye,,38 CFR 4.79
6064,No more than light perception in one eye.,100,The Organs of Special Sense,Eye,,38 CFR 4.79
6065,Vision in one eye 5/200 (1.5/60),100,The Organs of Special Sense,Eye,,38 CFR 4.79
6066,Visual acuity in one eye 10/200 (3/60) or better.,90,The Organs of Special Sense,Eye,,38 CFR 4.79
6080,Visual field defects.,100,The Organs of Special Sense,Eye,,38 CFR 4.79
6081,"Scotoma, unilateral.",100,The Organs of Special Sense,Eye,,38 CFR 4.79
6090,Diplopia (double vision),100,The Organs of Special Sense,Eye,,38 CFR 4.79
6091,Symblepharon,100,The Organs of Special Sense,Eye,,38 CFR 4.79
6200,"Chronic suppurative otitis media, mastoiditis, or cholesteatoma (or any combination).",10,The Organs of Special Sense,Ear,,38 CFR 4.87
6201,Chronic nonsuppurative otitis media with effusion (serous otitis media).,100,The Organs of Special Sense,Ear,,38 CFR 4.87
6202,Otosclerosis.,100,The Organs of Special Sense,Ear,,38 CFR 4.87
6204,Peripheral vestibular disorders.,30,The Organs of Special Sense,Ear,,38 CFR 4.87
